road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
1795548,Addressing Road,Unknown,Road,Lake Domain Road,Lake Domain Rd,,Lake Domain,Road,,,,,,Lake Domain Road,Lake Domain Rd,Lake Domain
1795573,Addressing Road,Unknown,Road,Ngakonui Road,Ngakonui Rd,,Ngakonui,Road,,,,,,Ngakonui Road,Ngakonui Rd,Ngakonui
1795660,Addressing Road,Unknown,Road,Hastwell Street,Hastwell St,,Hastwell,Street,,,,,,Hastwell Street,Hastwell St,Hastwell
1795624,Addressing Road,Unknown,Road,Tilsons Road,Tilsons Rd,,Tilsons,Road,,,,,,Tilsons Road,Tilsons Rd,Tilsons
1795641,Addressing Road,Unknown,Road,Wakelin Street,Wakelin St,,Wakelin,Street,,,,,,Wakelin Street,Wakelin St,Wakelin
1795652,Addressing Road,Unknown,Road,Horton Street,Horton St,,Horton,Street,,,,,,Horton Street,Horton St,Horton
1795688,Addressing Road,Unknown,Road,French Street,French St,,French,Street,,,,,,French Street,French St,French
1795501,Addressing Road,Unknown,Road,Wood Street,Wood St,,Wood,Street,,,,,,Wood Street,Wood St,Wood
1795639,Addressing Road,Unknown,Road,Mangatoetoe Grove,Mangatoetoe Grv,,Mangatoetoe,Grove,,,,,,Mangatoetoe Grove,Mangatoetoe Grv,Mangatoetoe
1795563,Addressing Road,Unknown,Road,Hawke Street,Hawke St,,Hawke,Street,,,,,,Hawke Street,Hawke St,Hawke
1791763,Addressing Road,Unknown,Road,Clara Anne Grove,Clara Anne Grv,,Clara Anne,Grove,,,,,,Clara Anne Grove,Clara Anne Grv,Clara Anne
3020372,Addressing Road,Unknown,Road,Ashbys Road,Ashbys Rd,,Ashbys,Road,,,,,,Ashbys Road,Ashbys Rd,Ashbys
1793375,Addressing Road,Unknown,Road,Ferry Road,Ferry Rd,,Ferry,Road,,,,,,Ferry Road,Ferry Rd,Ferry
1795682,Addressing Road,Unknown,Road,Daniel Street,Daniel St,,Daniel,Street,,,,,,Daniel Street,Daniel St,Daniel
1838917,Addressing Road,Unknown,Road,Campbell Drive,Campbell Dr,,Campbell,Drive,,,,,,Campbell Drive,Campbell Dr,Campbell
1839422,Addressing Road,Unknown,Road,Cherry Lane,Cherry Lane,,Cherry,Lane,,,,,,Cherry Lane,Cherry Lane,Cherry
1839460,Addressing Road,Unknown,Road,Settlement Road,Settlement Rd,,Settlement,Road,,,,,,Settlement Road,Settlement Rd,Settlement
1839999,Addressing Road,Unknown,Road,New York Street West,New York St W,,New York,Street,West,,,,,New York Street West,New York St W,New York
1840052,Addressing Road,Unknown,Road,Fairway Drive,Fairway Dr,,Fairway,Drive,,,,,,Fairway Drive,Fairway Dr,Fairway
1840054,Addressing Road,Unknown,Road,Birdie Way,Birdie Way,,Birdie,Way,,,,,,Birdie Way,Birdie Way,Birdie
1840263,Addressing Road,Unknown,Road,Homestead Lane,Homestead Lane,,Homestead,Lane,,,,,,Homestead Lane,Homestead Lane,Homestead
1840795,Addressing Road,Unknown,Road,McKerrow Place,McKerrow Pl,,McKerrow,Place,,,,,,McKerrow Place,McKerrow Pl,McKerrow
1840899,Addressing Road,Unknown,Road,Huia Way,Huia Way,,Huia,Way,,,,,,Huia Way,Huia Way,Huia
1841593,Addressing Road,Unknown,Road,Harvest Rise Road,Harvest Rise Rd,,Harvest Rise,Road,,,,,,Harvest Rise Road,Harvest Rise Rd,Harvest Rise
1795689,Addressing Road,Unknown,Road,Esther Street,Esther St,,Esther,Street,,,,,,Esther Street,Esther St,Esther
3081336,Addressing Road,Unknown,Road,Farley Avenue,Farley Ave,,Farley,Avenue,,,,,,Farley Avenue,Farley Ave,Farley
1795569,Addressing Road,Unknown,Road,Fenwicks Line,Fenwicks Line,,Fenwicks,Line,,,,,,Fenwicks Line,Fenwicks Line,Fenwicks
1795480,Addressing Road,Unknown,Road,Udy Street,Udy St,,Udy,Street,,,,,,Udy Street,Udy St,Udy
1795485,Addressing Road,Unknown,Road,Kenward Crescent,Kenward Cres,,Kenward,Crescent,,,,,,Kenward Crescent,Kenward Cres,Kenward
3016077,Addressing Road,Unknown,Road,Haurangi Road,Haurangi Rd,,Haurangi,Road,,,,,,Haurangi Road,Haurangi Rd,Haurangi
3021763,Addressing Road,Unknown,Road,Te Kouka Lane,Te Kouka Lane,,Te Kouka,Lane,,,,,,Te Kouka Lane,Te Kouka Lane,Te Kouka
1840204,Addressing Road,Unknown,Road,Cromarty Drive,Cromarty Dr,,Cromarty,Drive,,,,,,Cromarty Drive,Cromarty Dr,Cromarty
1795587,Addressing Road,Unknown,Road,Diversion Road,Diversion Rd,,Diversion,Road,,,,,,Diversion Road,Diversion Rd,Diversion
1795478,Addressing Road,Unknown,Road,Todds Road,Todds Rd,,Todds,Road,,,,,,Todds Road,Todds Rd,Todds
1795479,Addressing Road,Unknown,Road,Brandon Street,Brandon St,,Brandon,Street,,,,,,Brandon Street,Brandon St,Brandon
